types,tones,undertones,age,periode,content,buy,recommend,likes
normal, medium, neutral,19 - 24,3 months - 6 months,andalankuuu setiap muka lagi keringg         nyaman dipake di mukaa  setelah pake ini muka langsung terasa terhidrasi bangeet  ngga bikin iritasi sama sekali  awet jugaa satu botol di aku ngga abis2  mudah juga didapetinnya di e commerce atau beauty storee,shopee,recommends this product,0
dry, medium dark, warm,19 - 24,more than 1 year,best best best everrr              udah deh apapun masalah kulit ku balik nya kesinii lagi apalagi kalau kulit aku lagi keringggg bgttt ngelupas juga pake ini 2 3hari langsung lembut lembab glowing         gatau kenapa dari jaman masih sma sampe skrg suka bgtt sama lembabinnya dia   harganya murah meriah mantul  kalau udh bingung mau beli toner apa ujung2nya balik ke dia walaupun sempet viral dan harganya naik ga masuk akal tp tetap ku cintakkk     ,shopee,recommends this product,0
combination, medium dark, warm,19 - 24,more than 1 year,ini bagus  asli gangerti lagi  harga murah  isi banyak  ga bau aneh2  ngelembabin  gabikin muka iritasi  awet lama abisnya  dipake beberapa tetes juga cukup buat semuka  packagingnya juga simple banget  gaada cela sih menurut aku  noice ,shopee,recommends this product,0
combination, medium dark, warm,19 - 24,more than 1 year,awalnya bingung ini tuh produk jenis apa sih ternyata pas searching ini semacam toner  di kulitku juara banget untuk hydrating toner dengan harga yang terjangkau bikin kulit jadi lembab  teksturnya agak kentel dna cepet nyerep ke kulit  pake ini pas pagi juga nyaman banget biasanya kalo aku lagi pake toner ini skip moist jadi langsung ke sunscreen  dipake setelah toner exfo juga bagus sih gk nimbulin efek yg aneh2  udah alcohol free  paraben free  dan no colorant tp harganya semurah itu bener2 wort to try,shopee,recommends this product,0
combination, medium, warm,30 - 34,1 week - 1 month,efek dikulit aku lumayan ngasih hidrasi yang cukup  tapi ninggalin rasa lengket  harganya sih affordable  gampang juga dicarinya  kalau efek cerahnya  aku ga ngerasain sama sekali  atau mungkin pakenya harus lebih lama lagi ya   ,matahari,recommends this product,0
combination, medium light, neutral,18 and under,1 month - 3 months,murah banget dan isinya banyak  it do its job to hydrates very well juga  terus teksturnya ini lebih thick dari yang strip hijau  but even so tetep ga berasa terlalu berat dan greasy di kulit kombinasi normal to oily  nothing too special but nothing to complain about either  dan ini surprisingly abisnya lama banget   punyaku cuma yang ukuran 30ml dan kupake hampir tiap malem tapi sebulanan baru abis dong  masih lebih suka yang strip hijau karena lebih light tapi boleh lah ini jadi second option ,shopee,recommends this product,0
combination, medium dark, warm,18 and under,6 months - 1 year,hydarating toner yg emang bikin hydrating bgtt untuk harga segitu worth sih tapi sayang kl dipake pagi bakal greasy dan oily di muka jadi better dipake malam hari aja  gada fragrance dan bahan aneh aneh jadi ga bikin muka rewel  sesuai namanya ya dia emang hydrating aja,shopee,recommends this product,0
dry, light, warm,19 - 24,3 months - 6 months,simpel  gampang dicari  gak repot  favorit aku banget buat jadi toner  melembabkan dengan baik  nggak bikin iritasi  murah  pokoknya nggak aneh aneh  kalo lagi bingung mau beli toner apa pasti langsung beli ini  best product buat kalian yang mager eksplor dan pengen yang pasti pasti aja wkwk,watson,recommends this product,4
combination, medium, neutral,18 and under,1 month - 3 months,gw dah abis 2 botol  sejauh ini sih oke  aja ga ada nimbulin efek apa  ya sewajarnya toner aja lah  buat kulit gw yg saat itu kering ini oke sih buat lembabin dan enak banget dikulit ga kerasa berat kek air gitu ,shopee,recommends this product,0
dry, medium, neutral,19 - 24,more than 1 year,hydrating toner favorit aku     awalnya aku salah beli yang orange karna skintype aku oily harusnya beli yang strip hijau tapi pas aku coba yang strip hijau agak kurang nampol hidrasinya jadi aku tiap repurcashe selalu beli yang orange ini  bener2 menghidrasi kulit  efeknya calming dan gaada baunya  aman banget pake ini untuk moisture sandwich technique ,shopee,recommends this product,1
combination, medium light, neutral,18 and under,less than 1 week,aku make ini buat toner  udh dua kali pemakaian malah komedoan di aku  kasar  gt dibagian hidung  untuk teksturnya sendiri enak bgt licin dan cepet meresapnya  mungkin buat kalian yg ga gampang komedoan boleh dicoba  repurchase  no sih aku,traditional market,recommends this product,1
combination, medium, warm,19 - 24,more than 1 year,salah satu essence favorite aku karena selain harganya ramah di kantong performanua juga apik banget  aku pakai ini sebagai essence jadi pemakaiannya setelah toner  di kulitku yang oily essence ini lembapnya pas  bener bener cukup menghidrasi kulit gak bikin lengket dan pilling  packagingnya juga simple banget pakai botol plastik yang kokoh dengan tutup model flip top warna putih  no fragrance jadi aman banget buat kulit yang sensitive sama wewangian yang ada di dalam skimcare ,shopee,recommends this product,6
combination, medium, warm,19 - 24,6 months - 1 year,di aku works bikin lembab  toner yang oke banget  nyaman banget karena non alcohol  ga ada ingredients yg bikin iritasi  ingredients nya simpel gt loh jadi no no iritasi  nyaman polll    tp kadang kalo kulit lagi kering banget  kerasa kurang moist hahaa   tapi overall oke banget loh  apa lagi murah hehe   pernah ganti ke yang lain  tapi masih paling suka ini untuk toner  ,shopee,recommends this product,0
dry, medium dark, warm,19 - 24,1 month - 3 months,toner yg ga neko neko juga  tapi memang buatku yg dry skin harus berlapis lapis pakainya  biasanya aku pakai 5 layer wkwk  biar lembabnya enaakk banget di wajah  menurutku cukup cepat menyerap dan ga begitu sticky after feelnya  tipe toner yg enak tapi masih kurang lembab buatku  soalnya jadi boross    ,shopee,recommends this product,0
combination, medium light, warm,19 - 24,1 month - 3 months,hydrating toner pertama aku  aku udah pake sekitar 2 bulan  ini ngebantu banget buat aku soalnya daerah pipi suka kering tapi pas rajin pake ini alhamdulillah membaik dan baiknya lagi bruntusan dijidat aku juga udah berkurang,brand website,recommends this product,0
combination, medium, neutral,19 - 24,3 months - 6 months,hydrating toner kesukaan ku sih  teksturnya tuh ringan dan enak banget diwajah  pakai dikit aja emang sudah terasa banget lembab nya  gaada aroma   aneh  selain buat lembab wajah juga terasa glowing dan cerah  aku suka sama hasilnya dan aku sdh habiskan sampe 4btl     ,shopee,recommends this product,2
combination, medium light, neutral,19 - 24,3 months - 6 months,awal pake itu g kerasa efektif  mungkin karena jarang pake  tapi ternyata kumayan enak bangeettt  dan bikin kukit lembab  ditambah dia itu g ada alkohol  parfume juga jagi aman banget  untuk kuliy yg kering kayanya kurang menghidrasi sih,shopee,recommends this product,0
combination, medium, warm,18 and under,3 months - 6 months,aku bingung deskripsiinnya gimana   wkwkw  produknya baguss sih  bikin lembab  dan cocok juga buat skin barrier  tapii aku ngerasa gaada perubahan yang signifikan setelah aku pake 1 botol habis  tapi overall baguss bgt sih buat dry skinn,shopee,recommends this product,0
dry, medium, warm,30 - 34,more than 1 year,aku udah repurchase ini berkali kali  cukup menghidrasi kulit keringku  aku sukanya make ini banyak banyak biar nampol  toner ini encer dan nggak lengket jadi enak dipakenya  sebagai basic skincare ini oke banget  harganyapun nggak mahal  recommended ,shopee,recommends this product,0
combination, medium, neutral,18 and under,1 week - 1 month,ternyata yg ini teksturnya lebih sedikit padat ya dari pada yg strip ijo  tapi jujur aku lebih suka yg strip orange ini  walaupun ini toner jenisnya hydrating toner  aku biasannya nggunakin dia pake kapas dan di usap  tidak di gosok    dan ya dia juga mampu mengangkat sedikit kotoran yg suka masih tertinggal di wajah,lazada,recommends this product,0
dry, medium, warm,19 - 24,6 months - 1 year,cinta banget sama moisturizer ini  harga nya affordable tapi super melembabkan di kulitku yg kering kerontang  bener bener sesuai klaimnya  adem seger di muka  perlu waktu sebentar untuk meresap dan ga habis2 padahal dipake tiap hari,shopee,recommends this product,1
dry, medium, warm,30 - 34,1 week - 1 month,nyesel baru pakai hydrating toner ini  harganya terjangkau  tapi sama sekali enggak murahan  di kulit keringku toner ini mantul banget hidrasinya  soalnya punya 3 ha dalam kandungannga     teksturnya juga ringan banget dan ga ada bebauan yang aneh  aku pakai toner ini pagi   malam ,shopee,recommends this product,5
combination, medium dark, warm,19 - 24,1 month - 3 months,bagus buat yg kulitnya dehidrasi   nggak buat komedo    nggak buat jerawat    pokonya bagus buat kulit kering    bisa buat kompres wajah di jadiin masker gitu    emang pas selesai make kayak lengket gitu wajah  tapi selang berapa menit langsung hilang dan muka liciiinn banget  halus gitu    ,shopee,recommends this product,1
oily, medium light, neutral,18 and under,1 month - 3 months,hydrating toner paling bestttttttt plusss murahhh tapi kualitass si ga murahann sesudah dipakee hasil nya seger banget kulit juga jadi lebih cerah huhhhhh untungg banget pokoknya beli ini kemaren wkwk gara gara keracunan shopee ni liat ada yang review ini ternyata cocok dimuka aku yang sangat berminyak dan kusam parahhhhhhhhhhhhh harus cobaan pokoknyaa,beauty studio,recommends this product,0
combination, medium light, cool,18 and under,1 week - 1 month,sukaa banget sama hydrating toner yang ini      habis pake ini langsung berasa seger banget ini muka  pas itu aku beli yang starter pack nya  dapet ini yang 20ml  menurut aku segini udah lumayan banyak dan lama abisnya  terus dia juga ga bikin kulit aku iritasi gatel gatel  harganya juga terjangkau     ,shopee,recommends this product,1
combination, medium, neutral,25 - 29,more than 1 year,hydrating toner paling murah  dan sangat sangat memberikan kelembaban buat dry skin  sebotol yg isinya 100ml ini kayaknya lama banget habisnya  padahal dipake pagi malem  dan aku gatau udh habis berapa botol buat toner ini  teksturnya agak kental  licin terus bener bener kasi lembab ini dry skin  enak banget buat dipake csman sih ,guardian,recommends this product,13
combination, medium light, neutral,19 - 24,more than 1 year,texture nya mild    cepat meresap   harga afrodable    mudah di temukan di mana2 haha   sukaa sih karna tidak bereaksi negative di muka aku    meng hydrasi bgtt di muka akuu    tapi kalau buat calming jerawatt nggak yh     recomendedd   yes         ,guardian,recommends this product,4
oily, medium, neutral,19 - 24,1 week - 1 month,teksturnya agak thick tapi cepet meresap  but so sorry tapi di aku lama lama bikin komedoan     lembab tapi kayanya terlalu lembab di aku yg oily  tp strip ijo kurang lembab di aku meski oily  kudu gimana dong wkwkw harganya murah sih tapi apa daya jika ga cocok hahahaha yaudah sih aku juga cuma coba2 aja pas itu  repurchase  mmmmm no    ,shopee,recommends this product,0
combination, light, neutral,19 - 24,more than 1 year,ini toner pertama kali aku pake saar mengenal skincare  hadalabo dengan harga terjangkau dan texture yang seperti toner essence enak banget  udh beli 4 atau 5x karena memang senyaman itu pakenya dengan pas kantong sma pada saat itu  hampir semua toner hadalabo yang ini yang paling cucok  luv     ,dan+dan,recommends this product,0
normal, medium light, warm,19 - 24,3 months - 6 months,i d say ini hydrating toner kesukaan  mudah ditemuin dan nggak aneh aneh di wajah  teksturnya agak kentel karena ini toner essence  wanginya ada sedikit dan lembut banget  aku bisa bilang ini toner rumah karena pakai produk toner apapun aku selalu balik ke sini ,shopee,recommends this product,0
combination, medium dark, warm,19 - 24,more than 1 year,hada labo strip oren ini bisa dibilang hydra toner terbaik yang pernah aku coba  karena walau claim dia for dry skin tapi sebenernya ga se hydrate itu di kulitku yang kombinasi hehe aku pake si hada labo ini di am dan pm tanpa menimbulkan masalah serius  love it   ,guardian,recommends this product,1
combination, medium light, neutral,25 - 29,1 month - 3 months,nyoba upgrade dari hada labo light lotion dan   suka banget  kulitku sebenernya ga kering banget sih  tapi ini cocok juga dipake untuk kulit normal maupun berminyak  konsistensi sedikit lebih pekat dibanding yang light lotion jadi pemakaiannya lebih hemat  2 3 tetes pun udah bisa dipake semuka muka  dengan pemakaian rutin tiap hari  bye bye kulit bruntusan ,shopee,recommends this product,0
oily, medium light, neutral,19 - 24,1 week - 1 month,aku sih lebih suka yang strip ijo dari pada yang ini  kalau kalian yang kulitnya kering pasti cocok soalnya bener bener menghidrasi  tapi dikulit aku yang berminyak ini malah bikin berminyak teksturnya cair agak sedikit kental no fragrance dan harganya murce juga gampang di cari dimana mana,shopee,recommends this product,5
dry, medium, neutral,25 - 29,3 months - 6 months,hydrating toner yang gak kasih klaim aneh2  cukup melembabkan dan harganya terjangkau  awal mulai pakai basic skincare aku selalu beli hada labo yang ini  alhamdulillah cocok sampai habis 3 botol dan beralih ke light lotion strip hijau  gak ada keluhan sama sekali  cukup menghidrasi kulitku yg kering  kalo ada yg kurang dari toner ini mungkin cuma packaging aja      desainnya kurang cantik  tapi mengingat harganya yg murah meriah  gak bisa komplain deh      ,tokopedia,recommends this product,5
combination, medium, warm,18 and under,1 week - 1 month,awalnya ragu mau beli  tapi liat reviewnya jadi penasaran jugaa  udah beberapa kali repurchase produk ini dan cocok cocok aja sih  aku pake ini sebagai toner  melembabkan  harganya juga terjangkau  bisa dipake buat beberapa bulan  biasanya aku pake lumayan banyak sih  tapi ga bikin minyakan di aku  jerawatku juga mendingan pake ini  sukaa,shopee,recommends this product,2
